Points,Strokes,Distance,Time,Speed,Acceleration,FittsValue,SigmaLogNormal,StraightPath,ConstVelocity,Class
62,1,1687.717371,1230,66227.83813,62,0,0,0,0,0
58,1,1370.105406,853,74064.25675,58,0,1,0,0,0
35,1,1300.210044,525,85756.52685,35,0,1,0,0,0
58,1,1255.782451,1920,65311.7566,58,0,1,0,0,0
212,3,4672.890083,5983,100235.0374,212,1,1,0,0,0
35,1,1475.788969,750,74963.97702,35,0,0,0,0,0
68,1,980.6705678,1184,58446.21736,68,0,0,0,0,0
81,2,1894.228874,1290,49078.17378,81,0,0,1,0,0
61,1,985.5278635,1140,43262.28533,61,0,0,0,0,0
45,1,721.3014881,704,50135.57354,45,0,0,0,0,0
58,1,607.6266859,1020,39133.08646,58,0,0,0,0,0
48,1,794.9768601,930,36747.14922,48,0,0,0,0,0
46,1,541.3692819,719,21789.3319,46,0,0,0,0,0
41,1,748.1927322,659,79439.64392,41,0,0,0,0,0
53,1,1399.570753,1020,42447.86791,53,0,1,0,0,0
83,1,832.3673424,1410,41875.50472,83,0,0,0,0,0
80,1,2556.421536,2550,47060.32083,80,1,0,0,0,0
71,1,1063.621908,1200,39924.77326,71,0,0,0,0,0
93,1,1511.832085,1440,35771.15691,93,1,0,0,0,0
39,1,905.4079555,584,34681.7357,39,0,1,0,0,0
35,1,352.7442139,585,25909.03731,35,0,0,0,0,0
40,1,902.7649711,706,44683.57656,40,0,1,0,0,0
47,1,524.733931,749,21816.90793,47,0,0,0,0,0
31,1,512.0829624,463,9871.19753,31,0,0,1,0,0
36,1,503.934113,584,24215.79537,36,0,0,0,0,0
40,1,721.0232798,704,12555.9842,40,0,0,0,0,0
56,1,641.0449957,839,14437.6045,56,0,0,0,0,0
39,1,604.9832219,616,32296.17634,39,0,1,1,0,0
41,1,848.8426673,856,60242.88584,41,0,0,0,0,0
60,1,1264.634324,47,56944.82514,26.90711327,1,1,0,1,1
33,1,916.7457303,69,90287.25743,13.28617,1,1,0,1,1
190,1,2196.175594,224,67961.58087,9.804355329,1,1,0,1,1
65,1,1571.720165,81,142629.1572,19.40395266,1,1,0,1,1
84,1,1614.359914,107,76475.88626,15.08747583,1,1,0,1,1
59,1,1184.998417,42,55936.66384,28.21424802,1,1,0,1,1
105,1,1735.860146,54,58476.14231,32.14555826,1,1,0,1,1
41,1,460.6958687,25,63163.956,18.42783475,1,1,0,1,1
78,1,2024.796931,100,181719.568,20.24796931,1,1,0,1,1
48,1,1319.815035,61,143087.4313,21.63631204,1,1,0,1,1
36,1,1148.374765,19,151120.4399,60.44077712,1,1,0,1,1
59,1,787.7677936,33,42971.26304,23.87175132,1,1,0,1,1
128,1,2118.097732,110,59863.82402,19.25543392,1,1,0,1,1
61,1,1307.50281,72,56005.5004,18.15976126,1,1,0,1,1
77,1,1310.094962,87,30829.62535,15.05856278,1,1,0,1,1
160,1,2584.763605,124,51408.9776,20.84486778,1,0,0,1,1
120,1,2126.121274,126,102252.0668,16.87397836,1,1,0,1,1
103,1,1619.768853,77,76709.69883,21.03595913,1,1,0,1,1
50,1,1083.512898,77,54680.89607,14.07159608,1,1,0,1,1
34,1,500.8048269,13,44874.39016,38.52344822,1,1,0,1,1
99,1,1231.592612,55,61936.46756,22.39259295,1,1,0,1,1
76,1,1344.286527,40,102225.6909,33.60716318,1,1,0,1,1
61,1,1286.957208,59,82548.53121,21.81283404,1,1,0,1,1
42,1,917.8946564,21,68486.11932,43.70926935,1,1,0,1,1
48,1,431.1508183,19,22364.3986,22.69214833,1,1,0,1,1
49,1,2573.359769,73,86327.56916,35.25150368,1,1,0,1,1
133,1,2036.74997,109,111549.0642,18.68577954,1,1,0,1,1
167,1,2607.969937,128,48293.81417,20.37476513,1,1,0,1,1
148,1,1967.478001,84,83000.31404,23.42235716,1,1,0,1,1
139,1,2731.917263,120,58626.14461,22.7659772,1,1,0,1,1
56,1,1095.523382,69,70338.58648,15.87715047,1,1,0,1,1
59,1,1778.025889,82,96648.6366,21.68324255,1,1,0,1,1
226,1,2494.867523,145,82688.72898,17.20598292,1,1,0,1,1
90,1,1155.861008,47,61109.08032,24.5927874,1,1,0,1,1
159,1,2665.869245,92,204719.5252,28.97683962,1,1,0,1,1
159,1,2221.844358,135,82098.37404,16.45810635,1,1,0,1,1
42,1,1185.13557,23,155978.1789,51.5276335,1,1,0,1,1