Points,Strokes,Distance,Time,Speed,Acceleration,Fitts Value,SigmaLog Normal,Straight Path,const velocity,Class
69,1,182.3417039,844,947.3869483,0.2160446729,0,0,0,0,HUMAN
66,1,648.7853142,899,15512.45641,0.7216744318,0,0,0,0,HUMAN
95,1,870.0657449,1259,1146.986514,0.6910768427,0,0,0,0,HUMAN
67,1,933.1602705,763,1096.150078,1.223014771,0,0,0,0,HUMAN
89,1,1727.767967,1057,1820.532659,1.634595995,0,0,0,0,HUMAN
63,1,912.6220356,832,6381.018194,1.096901485,0,0,0,0,HUMAN
45,1,332.4273926,506,368.6862243,0.6569711316,0,0,0,0,HUMAN
66,1,930.5836951,752,1257.863832,1.237478318,0,0,0,0,HUMAN
125,1,2176.482102,1383,38312.89674,1.57373977,1,0,0,0,HUMAN
76,1,980.1058816,945,5380.131471,1.037149081,0,0,1,0,HUMAN
61,1,338.17877,686,322.5730971,0.4929719679,0,1,0,0,HUMAN
68,1,464.1626241,777,6354.373503,0.5973778946,0,0,0,0,HUMAN
44,1,950.8073439,482,1030.409663,1.972629344,0,1,0,0,HUMAN
64,1,487.0293188,708,400.5151448,0.687894518,0,0,0,0,HUMAN
126,1,1543.54066,1440,30712.08247,1.071903236,1,0,0,0,HUMAN
53,1,569.0728451,584,17285.31147,0.9744398033,0,0,0,0,HUMAN
73,1,1011.371251,798,1061.568479,1.26738252,0,0,0,0,HUMAN
63,1,758.3393677,811,32761.80285,0.9350670378,0,0,0,0,HUMAN
121,2,4079.757235,2732,3705.113352,1.49332256,1,1,0,0,HUMAN
43,1,1058.777431,505,1981.809161,2.096588972,0,0,0,0,HUMAN
77,1,939.1998017,844,2039.824656,1.112795974,0,0,0,0,HUMAN
49,1,365.0868018,801,446.1088916,0.4557887662,0,0,0,0,HUMAN
57,1,814.7120954,641,4056.440198,1.271001709,0,0,0,0,HUMAN
68,1,566.7183046,957,6340.042507,0.5921821365,0,0,0,0,HUMAN
46,1,497.9006497,540,796.7179981,0.9220382402,0,1,0,0,HUMAN
51,1,353.1388604,640,7267.731715,0.5517794693,0,1,0,0,HUMAN
121,2,1183.39455,2306,27724.38392,0.5131806376,1,0,1,0,HUMAN
62,1,1050.82407,688,833.2401303,1.527360567,0,0,0,0,HUMAN
92,1,181.3867086,2093,235.4674427,0.08666350147,1,1,0,0,HUMAN
126,1,1333.231333,2102,968.7820512,0.6342679985,1,0,0,0,HUMAN
60,1,855.1178377,1554,1344.039714,0.5502688788,1,0,0,0,HUMAN
77,1,815.4133193,877,557.5785174,0.9297757346,0,0,0,0,HUMAN
104,1,3448.087269,2431,2764.477886,1.418382258,0,0,0,0,HUMAN
67,1,675.5555321,754,21662.87995,0.8959622441,0,0,0,0,HUMAN
64,1,231.629575,1047,2653.502415,0.2212316857,0,1,0,0,HUMAN
70,1,524.6608873,844,1175.088969,0.6216361224,0,0,0,0,HUMAN
90,1,513.4270122,1013,495.3215697,0.5068381166,0,0,0,0,HUMAN
74,1,759.5737506,854,12303.3304,0.8894306213,0,0,0,0,HUMAN
153,2,3319.256677,3847,15799.88925,0.8628169162,0,0,0,0,HUMAN
43,1,748.5609433,483,7684.982575,1.549815618,0,0,0,0,HUMAN
59,1,318.2847615,698,258.9658088,0.4559953603,0,0,0,0,HUMAN
135,2,3985.187329,3247,2651.538463,1.227344419,0,1,0,0,HUMAN
67,1,1181.947856,753,13714.65162,1.569651867,0,0,0,0,HUMAN
53,1,560.2873974,607,10175.3403,0.9230434883,0,0,0,0,HUMAN
44,1,555.6815905,496,7135.241477,1.120325787,0,1,0,0,HUMAN
73,2,1439.061141,1901,1535.224215,0.7570021782,1,1,0,0,HUMAN
53,1,1052.025822,618,34096.42699,1.702307155,0,0,0,0,HUMAN
555,7,8403.373157,11779,15053.03271,0.7134199131,1,0,1,0,HUMAN
91,1,619.3091778,1733,8264.08582,0.35736248,0,0,0,0,HUMAN
37,1,405.7231266,393,1268.711281,1.032374368,0,1,0,0,HUMAN
74,1,1124.519786,887,957.6294319,1.267778789,0,0,0,0,HUMAN
49,1,705.2133972,564,10928.73592,1.250378364,0,1,0,0,HUMAN
71,1,791.4780386,821,920.8539031,0.9640414599,0,0,0,0,HUMAN
82,1,958.0755427,1045,17783.85877,0.9168187011,0,0,0,0,HUMAN
70,1,1800.401568,778,34864.97974,2.314140833,0,0,0,0,HUMAN
38,1,417.0615773,472,10466.6579,0.8836050366,0,1,0,0,HUMAN
85,1,855.6750095,933,8958.390958,0.9171221967,0,0,0,0,HUMAN
44,1,207.8992003,573,5173.535623,0.3628258295,0,1,0,0,HUMAN
153,2,997.8073978,1778,898.5280151,0.5611965117,1,0,1,0,HUMAN
60,1,636.4141848,910,863.0930202,0.699356247,1,0,0,0,HUMAN
114,1,1367.346183,1272,588.227626,1.074957691,1,0,0,0,HUMAN
52,1,1884.336439,900,41798.3579,2.093707154,0,0,0,0,HUMAN
100,1,1066.193579,1271,964.4252281,0.8388619819,1,0,0,0,HUMAN
44,1,628.2456975,484,29409.45512,1.298028301,0,0,1,0,HUMAN
94,1,943.6341525,1134,10334.61612,0.8321288822,0,0,1,0,HUMAN
47,1,505.8097312,574,766.6301269,0.8812016223,1,1,0,0,HUMAN
116,2,2391.682623,3666,1604.874492,0.6523956964,0,1,0,0,HUMAN
63,1,695.0020912,697,4583.851997,0.9971335598,0,0,0,0,HUMAN
151,1,2190.271192,1745,14669.01387,1.255169738,1,0,0,0,HUMAN
91,1,766.7690402,1167,2664.387042,0.6570428793,1,0,0,0,HUMAN
49,1,176.1791003,539,295.1843447,0.3268628947,1,1,0,0,HUMAN
116,1,565.7189877,1563,892.3382593,0.36194433,0,1,0,0,HUMAN
59,1,260.068834,675,411.2308073,0.3852871615,0,1,0,0,HUMAN
80,1,2384.398754,979,2357.0954,2.435545204,0,0,0,0,HUMAN
88,1,1380.729832,967,4604.054589,1.427848844,0,0,0,0,HUMAN
67,1,309.3691918,778,4483.217592,0.3976467761,0,1,0,0,HUMAN
80,1,967.0703904,1182,15747.2122,0.8181644589,1,0,0,0,HUMAN
42,1,974.6422612,517,4505.695505,1.885188126,0,1,1,0,HUMAN
50,1,235.8501399,573,8978.831892,0.4116058288,0,0,0,0,HUMAN
69,1,2112.001512,1182,1840.53004,1.78680331,1,0,0,0,HUMAN
106,2,1092.988395,1779,14300.7747,0.6143835833,0,0,1,0,HUMAN
83,1,1018.855516,1887,819.4303913,0.5399340306,1,1,0,0,HUMAN
56,1,434.78318,664,416.508227,0.6547939459,0,1,0,0,HUMAN
58,1,690.5419239,732,39642.923,0.943363284,0,0,0,0,HUMAN
74,1,844.395518,843,1047.589302,1.001655419,0,0,0,0,HUMAN
51,1,840.6205306,1002,3606.04783,0.8389426453,1,1,0,0,HUMAN
35,1,1596.057978,946,513.8022737,1.687164882,0,1,0,0,HUMAN
68,1,840.9316143,834,21165.60865,1.008311288,0,0,0,0,HUMAN
67,1,594.9640158,799,618.1523083,0.7446358145,0,0,1,0,HUMAN
39,1,566.6386884,461,23343.70749,1.229151168,0,1,0,0,HUMAN
212,1,672.3245446,2756,6242.429503,0.2439493994,1,0,1,0,HUMAN
43,1,1145.927458,1430,1175.32632,0.8013478725,1,1,0,0,HUMAN
98,1,911.0441729,1361,19465.66792,0.6693932204,0,1,0,0,HUMAN
51,1,883.1658878,585,1207.485922,1.509685278,0,0,0,0,HUMAN
60,1,412.645759,697,5796.537057,0.592031218,0,0,0,0,HUMAN
95,2,2597.420456,3456,2794.857657,0.7515684191,1,0,0,0,HUMAN
102,1,1233.531449,1372,1235.234733,0.8990753999,1,0,0,0,HUMAN
71,1,626.0587804,922,567.1112846,0.6790225384,0,0,0,0,HUMAN
56,1,515.0308344,674,24163.35349,0.7641407038,0,1,0,0,HUMAN
75,1,843.388513,1317,15503.50717,0.6403861147,0,0,0,0,HUMAN
63,1,384.7061734,774,371.6115824,0.4970363997,0,1,0,0,HUMAN
97,1,918.7011139,1295,1037.415317,0.7094217095,1,0,0,0,HUMAN
83,1,729.5550354,1877,547.3119919,0.3886814253,0,0,0,0,HUMAN
51,1,354.2173398,609,613.872374,0.581637668,1,0,0,0,HUMAN
64,1,371.1561959,699,983.5624842,0.5309816822,0,0,0,0,HUMAN
96,1,1071.219811,1125,3248.382529,0.9521953873,0,0,0,0,HUMAN
139,2,1451.577631,2744,43169.58032,0.5290005944,1,0,0,0,HUMAN
77,1,3046.500868,13932,189.0479458,0.218669313,1,1,0,0,BOT
62,1,6765.713639,10668,17449.00374,0.6342063778,1,1,0,0,BOT
469,5,29303.16692,87016,469507.5572,0.3367560785,1,1,0,0,BOT
92,1,6299.324295,16986,23814.13887,0.370853897,1,1,0,0,BOT
60,1,564.5156035,4433,146.7137533,0.1273439214,1,1,1,0,BOT
149,2,11162.35184,26082,27753.41306,0.4279714684,1,1,0,0,BOT
75,1,7720.00432,12884,27150.18128,0.5991931326,1,1,0,0,BOT
35,1,2188.978287,6216,206.4145331,0.3521522341,1,1,0,0,BOT
316,5,23356.28886,58699,13755.74651,0.3978992634,1,1,0,0,BOT
165,2,7156.695514,30682,6067.492698,0.233253879,1,1,0,0,BOT
102,1,1068.394814,7133,163.1480276,0.1497819731,1,0,1,0,BOT
247,5,2647.340319,17316,257.2018232,0.1528840563,1,0,1,0,BOT
224,4,16512.42145,43480,848507.9327,0.3797705025,1,1,0,0,BOT
183,2,12105.30666,32917,22221.44769,0.3677524275,1,1,0,0,BOT
912,12,10569.33618,69132,463.7127528,0.1528863071,1,0,1,0,BOT
74,2,7984.520377,13733,26349.66741,0.5814112268,1,1,0,0,BOT
156,3,1628.619105,11298,196.924625,0.144151098,1,0,1,0,BOT
246,4,1747.624242,17450,126.5938198,0.1001503863,1,0,1,0,BOT
60,1,6360.26598,10916,15170.77975,0.5826553664,1,1,0,0,BOT
586,9,5187.406861,42949,245.2895832,0.1207806203,1,0,1,0,BOT
684,11,7854.210256,50900,328.7653899,0.1543066848,1,0,1,0,BOT
165,1,16134.49839,29235,76550.83185,0.5518898029,1,1,0,0,BOT
409,7,2398.045006,29931,97.78539374,0.0801191075,1,0,1,0,BOT
40,1,2218.631245,7501,282.4945294,0.2957780622,1,1,0,0,BOT
294,5,4066.061299,22632,428.9523502,0.1796598311,1,0,1,0,BOT
86,1,3478.064917,15102,241.2289221,0.230304921,1,1,0,0,BOT
1963,30,20690.32944,145014,584.442701,0.1426781514,1,0,1,0,BOT
60,1,201.3300084,4516,41.813278,0.0445814899,1,1,1,0,BOT
166,1,13996.06865,30765,426365.5852,0.4549347847,1,1,0,0,BOT
243,6,17616.4887,44887,784448.1523,0.392463045,1,1,0,0,BOT
302,2,18845.17493,53232,969908.752,0.3540196673,1,1,0,0,BOT
194,2,16695.83426,35901,981125.3829,0.4650520672,1,1,0,0,BOT
116,3,987.6606802,8666,203.3468762,0.1139696146,1,0,1,0,BOT
59,1,4883.942769,10301,73637.5119,0.4741231695,1,1,0,0,BOT
55,1,4444.908831,9152,10466.21425,0.4856762271,1,1,0,0,BOT
131,3,1497.714225,9651,302.5392561,0.1551874651,1,0,1,0,BOT
102,1,10283.08351,19915,551584.5042,0.5163486575,1,1,0,0,BOT
231,4,1949.390569,16417,137.0986734,0.1187421922,1,0,1,0,BOT
123,1,8505.220883,22250,506529.3177,0.3822571183,1,1,0,0,BOT
248,5,1965.375174,17684,232.6467422,0.1111386097,1,0,1,0,BOT
349,6,2715.040214,25950,335.0275887,0.1046258271,1,0,1,0,BOT
37,1,2831.327503,7102,292.5407466,0.3986662213,1,1,0,0,BOT
83,2,658.6404544,5700,106.8638039,0.1155509569,1,0,1,0,BOT
259,5,21663.46024,45949,91452.98101,0.4714675019,1,1,0,0,BOT
249,5,16991.09943,43700,56848.38318,0.3888123439,1,1,0,0,BOT
175,3,2309.384298,12516,357.8219226,0.1845145652,1,0,1,0,BOT
96,2,2268.746164,6900,308.6445628,0.3288037918,1,0,1,0,BOT
129,1,11449.30577,22251,37397.14766,0.5145524142,1,1,0,0,BOT
227,3,16607.46816,39434,1012710.479,0.4211459188,1,1,0,0,BOT
250,4,1304.398851,19017,202.6940932,0.06859120001,1,0,1,0,BOT
171,3,10170.51098,31982,392.021877,0.3180073474,1,1,0,0,BOT
126,2,1103.190959,9017,113.2523927,0.1223456758,1,0,1,0,BOT
115,2,7903.038796,19316,13643.50776,0.4091446881,1,1,0,0,BOT
1137,20,9276.66223,84165,228.6026343,0.1102199516,1,0,1,0,BOT
92,2,764.6168613,6598,270.6426822,0.1158861566,1,0,1,0,BOT
269,4,4267.356763,20699,332.6511875,0.2061624602,1,0,1,0,BOT
474,1,8409.051727,292,279834.658,28.79812235,1,1,0,1,BOT
395,1,2395.721483,212,61835.83582,11.30057303,1,1,0,1,BOT
60,1,741.5722803,34,41421.29173,21.81094942,1,1,0,1,BOT
274,1,3579.215105,179,87194.01546,19.99561511,1,0,0,1,BOT
83,1,494.0462467,44,30753.62934,11.22832379,1,1,0,1,BOT
442,1,6714.815675,259,171054.5953,25.92592925,1,1,0,1,BOT
59,1,910.3344464,36,37501.82923,25.28706796,1,1,0,1,BOT
297,1,5822.972808,206,88409.82158,28.26685829,1,0,0,1,BOT
122,1,1605.371547,80,84378.11813,20.06714434,1,1,0,1,BOT
34,1,899.5242175,22,112145.3999,40.88746443,1,1,0,1,BOT
461,1,5305.54163,260,107570.7234,20.40592935,1,0,0,1,BOT
55,1,1401.143455,70,68803.06511,20.01633507,1,0,0,0,BOT
407,1,5266.44863,226,119670.4844,23.30287004,1,0,0,1,BOT
200,1,3506.658645,866,34593.17366,4.049259405,0,1,0,1,BOT
436,1,5848.038195,238,158543.3532,24.57158905,1,1,0,1,BOT
273,2,4140.678168,149,109904.9118,27.78978636,1,1,0,1,BOT
344,1,7079.75102,206,159242.5141,34.3677234,1,1,0,1,BOT
355,1,4538.943212,178,132738.3009,25.49968096,1,1,0,1,BOT
173,1,5515.788635,118,242679.8522,46.74397148,1,1,0,1,BOT
255,1,5233.889472,150,123049.6336,34.89259648,1,1,0,1,BOT
92,1,1246.875411,48,39545.97706,25.97657107,1,1,0,1,BOT
316,1,5260.491937,188,85174.69678,27.98134009,1,1,0,1,BOT
133,1,1086.44804,71,30307.57004,15.30208507,1,1,0,1,BOT
313,1,4707.809869,171,81722.29395,27.53105187,1,1,0,1,BOT
282,1,5125.112877,155,88833.82876,33.06524437,1,1,0,1,BOT
272,1,7313.73539,202,211990.2654,36.20661084,1,1,0,1,BOT
472,1,5676.479983,264,84810.61106,21.50181812,1,1,0,1,BOT
68,1,938.7638136,36,34622.18583,26.0767726,1,1,0,1,BOT
470,1,9237.729595,247,158446.8752,37.39971496,1,0,0,1,BOT
76,1,3430.338184,744,77993.11504,4.610669603,0,1,0,1,BOT
268,1,5053.121263,149,217318.2057,33.91356552,1,1,0,1,BOT
294,1,3620.726491,313,77397.99211,11.56781627,1,0,0,1,BOT
161,1,1900.264353,85,140983.4357,22.35605121,1,1,0,1,BOT
475,1,6868.869351,319,146148.0479,21.5325058,1,0,0,1,BOT
51,1,943.1089128,27,54671.02081,34.92995973,1,1,0,1,BOT
60,1,1900.192964,46,127143.756,41.30854269,1,1,0,1,BOT
55,1,673.8499917,31,33453.15693,21.73709651,1,1,0,1,BOT
163,1,2393.605341,94,102875.3636,25.46388661,1,1,0,1,BOT
162,1,4589.480596,99,193883.0303,46.35838986,1,1,0,1,BOT
144,1,3095.821543,76,68539.33019,40.73449399,1,1,0,1,BOT
471,1,6729.823653,328,111025.3391,20.51775504,1,0,0,1,BOT
85,1,1737.94004,45,59455.90012,38.62088977,1,1,0,1,BOT
171,1,1769.840083,89,217876.3232,19.88584363,1,1,0,1,BOT
208,1,3754.488456,120,178469.1184,31.2874038,1,0,0,1,BOT
663,1,9453.115947,1074,122746.0197,8.801783935,0,1,0,1,BOT
476,1,7971.621283,1012,107997.4781,7.87709613,0,1,0,1,BOT
102,1,2183.434826,58,165337.2924,37.64542803,1,1,0,1,BOT
63,1,739.2197304,37,38098.76891,19.97891163,1,1,0,1,BOT
242,1,4410.901769,121,344942.9144,36.45373363,1,1,0,1,BOT
88,1,1926.897517,48,66245.19435,40.14369826,1,1,0,1,BOT
317,1,5254.974983,189,87898.39569,27.80410044,1,1,0,1,BOT
305,1,5384.276072,173,114718.1612,31.12298307,1,1,0,1,BOT
264,1,2940.717263,141,216476.4565,20.8561508,1,1,0,1,BOT
386,1,7811.607358,233,110121.6785,33.52621184,1,1,0,1,BOT
37,1,790.2877415,23,52170.64244,34.36033659,1,1,0,1,BOT
48,1,1506.654098,30,76594.45179,50.22180327,1,1,0,1,BOT
337,1,4082.451266,193,187449.8783,21.15259723,1,1,0,1,BOT
45,1,1475.825354,27,105042.2357,54.6601983,1,1,0,1,BOT
222,1,5530.423369,134,224160.6238,41.27181618,1,1,0,1,BOT
440,1,6543.300089,213,95739.40212,30.71971873,1,1,0,1,BOT
56,1,443.6638661,36,27504.79801,12.32399628,1,1,0,1,BOT
53,1,107.7893642,30,8290.277777,3.592978806,1,1,0,1,BOT
316,1,5377.948137,194,122291.158,27.72138215,1,0,0,1,BOT
231,1,4803.72507,156,131547.6161,30.79310942,1,1,0,1,BOT
240,1,2399.176755,155,63220.75306,15.47855971,1,1,0,1,BOT
263,1,7205.815713,916,192332.9953,7.86661104,0,1,0,1,BOT
466,1,8563.335276,1061,83198.69694,8.07100403,0,1,0,1,BOT
401,1,5948.371803,221,78321.12526,26.91570952,1,1,0,1,BOT
257,1,3555.285771,149,98453.91224,23.86097833,1,1,0,1,BOT
78,1,691.7453434,43,29691.40007,16.08710101,1,1,0,1,BOT
65,1,1205.390066,35,87832.80014,34.43971619,1,1,0,1,BOT
302,1,4803.904823,197,86583.41113,24.38530367,1,1,0,1,BOT
372,1,4221.17896,206,76835.05594,20.49116,1,1,0,1,BOT
85,1,1454.930005,53,63546.62833,27.45150954,1,1,0,1,BOT
259,1,4858.788403,144,150537.5708,33.74158613,1,1,0,1,BOT
234,1,3588.383648,130,86257.0947,27.60295114,1,1,0,1,BOT
169,1,3180.16997,95,90202.31775,33.47547337,1,1,0,1,BOT
527,1,7625.238319,1194,76606.04374,6.38629675,1,1,0,1,BOT
113,1,2167.350139,65,120658.4855,33.34384829,1,1,0,1,BOT
79,1,371.2077321,44,23594.17487,8.436539367,1,1,0,1,BOT
293,1,4608.430535,155,261495.9204,29.7318099,1,1,0,1,BOT
45,1,1290.190066,27,114040.5158,47.78481725,1,1,0,1,BOT
176,1,3540.433945,119,88317.68763,29.75154576,1,1,0,1,BOT
34,1,548.5769569,518,9920.852195,1.059028874,0,1,0,0,BOT
146,1,2301.084973,63,138400.4008,36.52515831,1,1,0,1,BOT
474,1,9454.401987,245,206474.2771,38.58939587,1,1,0,1,BOT
119,1,4173.392243,67,182582.2193,62.28943646,1,1,0,1,BOT
240,1,5131.306562,121,157675.4179,42.40749225,1,1,0,1,BOT
53,1,1801.270573,30,184775.9772,60.04235243,1,1,0,1,BOT
189,1,5179.382311,109,228728.3929,47.51726891,1,1,0,1,BOT
514,1,10826.54616,1046,168549.855,10.35042654,0,1,0,1,BOT
383,1,6497.210485,196,163418.3142,33.14903308,1,0,0,1,BOT
417,1,8015.302247,251,267133.0198,31.93347509,1,1,0,1,BOT
399,1,8429.36822,215,169117.2872,39.20636381,1,0,0,1,BOT
267,1,6238.16416,132,221833.3581,47.2588194,1,1,0,1,BOT
146,1,4835.2626,88,212692.3952,54.94616591,1,1,0,1,BOT
188,1,2370.993896,109,57180.17581,21.75223758,1,1,0,1,BOT
195,1,3147.019054,104,66484.97985,30.2597986,1,1,0,1,BOT
82,1,1242.649653,46,74563.61109,27.0141229,1,1,0,1,BOT
231,1,3575.938774,162,78228.93248,22.07369614,1,1,0,1,BOT
75,1,866.2514432,42,44008.61848,20.62503436,1,1,0,1,BOT
304,1,6433.013874,896,147388.9832,7.179702985,0,1,0,1,BOT
32,1,1023.796391,17,75076.35057,60.22331709,1,1,0,1,BOT
66,1,452.3345365,36,27497.73322,12.56484824,1,1,0,1,BOT
402,1,7904.333151,239,230904.2127,33.07252365,1,1,0,1,BOT
47,1,1438.758487,45,57691.65279,31.97241082,1,1,0,0,BOT
75,1,722.5373707,43,46838.47703,16.80319467,1,1,0,1,BOT
228,1,1898.613655,114,28014.38101,16.65450574,1,1,0,1,BOT
566,1,9911.605122,352,158503.8317,28.1579691,1,1,0,1,BOT
38,1,564.200648,23,63973.4788,24.53046296,1,1,0,1,BOT
357,2,4937.303317,190,160559.5777,25.98580693,1,1,0,1,BOT
391,1,7279.82865,211,163154.1465,34.50155758,1,0,0,1,BOT
511,2,8424.787153,298,275472.3155,28.27109783,1,1,0,1,BOT
252,1,4180.081223,129,237292.9388,32.40373041,1,1,0,1,BOT
193,2,2090.713727,99,79001.19202,21.11832047,1,1,0,1,BOT
74,1,2071.440416,36,1205181.314,57.54001156,1,1,0,1,BOT
48,1,537.7438867,22,36920.04573,24.44290394,1,1,0,1,BOT
120,1,2176.887178,58,1010261.442,37.53253756,1,1,0,1,BOT
109,1,3249.14397,51,143593.828,63.7087053,1,1,0,1,BOT
84,1,571.6384673,39,226939.4155,14.6573966,1,1,0,1,BOT
75,1,2858.682508,35,1639568.012,81.6766431,1,1,1,1,BOT
53,1,1828.079591,29,111753.3878,63.03722729,1,1,0,1,BOT
79,1,1597.979544,34,1198164.774,46.99939835,1,1,0,1,BOT
108,2,3027.430511,96,142826.589,31.53573449,1,1,1,0,BOT
68,1,581.4674192,39,393078.2494,14.90942101,1,1,0,1,BOT
120,2,1782.496688,55,257726.4917,32.40903069,1,1,0,1,BOT
96,1,1452.361191,46,212869.8969,31.57306938,1,1,0,1,BOT
92,1,3088.686263,52,1443641.414,59.39781274,1,1,0,1,BOT
32,1,635.5461054,21,309882.9445,30.26410026,1,1,0,1,BOT
58,1,501.688617,30,28862.81581,16.7229539,1,1,0,1,BOT
130,1,1046.747191,57,199034.6652,18.3639858,1,1,0,1,BOT
84,1,1649.443653,38,92741.85107,43.40641193,1,1,0,1,BOT
93,1,1710.834185,42,100385.5716,40.73414725,1,1,0,1,BOT
56,1,1667.353047,28,87957.04877,59.54832311,1,1,0,1,BOT
87,1,1309.512797,46,64838.17233,28.46766951,1,1,0,1,BOT
48,1,1613.349348,25,91815.33259,64.53397393,1,1,0,1,BOT
136,1,2516.427463,60,155440.4743,41.94045771,1,1,0,1,BOT
95,2,1904.754741,39,447570.5268,48.83986515,1,1,0,1,BOT
113,1,1558.281945,57,902270.9487,27.33827973,1,1,0,1,BOT
97,1,1990.883408,49,91659.83694,40.63027364,1,1,0,1,BOT
65,1,1970.080912,47,108488.3666,41.91661516,1,1,0,1,BOT
92,1,1936.548495,49,954558.2712,39.52139785,1,1,0,1,BOT
82,1,2084.471238,50,1403878.274,41.68942475,1,1,0,1,BOT
37,1,2054.025335,20,931849.444,102.7012667,1,1,0,1,BOT
54,1,1430.254705,30,1040914.633,47.67515685,1,1,0,1,BOT
124,2,2189.397278,55,122252.6389,39.80722323,1,1,1,1,BOT
74,1,1406.825002,37,110153.7284,38.02229734,1,1,0,1,BOT
77,1,1846.155373,35,1560504.9,52.74729636,1,1,0,1,BOT
90,1,2498.616777,49,120946.525,50.99217912,1,1,0,1,BOT
93,1,4144.252009,1207,1653127.786,3.433514506,1,1,0,1,BOT
114,1,2636.274922,1152,266449.9404,2.288433092,1,1,0,1,BOT
111,1,1804.63627,50,105549.8291,36.09272541,1,1,0,1,BOT
68,1,1744.011901,33,132674.0371,52.84884549,1,1,0,1,BOT
52,1,2555.416163,26,170352.7647,98.28523703,1,1,0,1,BOT
34,1,2080.27526,18,179605.7951,115.5708478,1,1,0,1,BOT
110,1,1885.041127,46,112800.5592,40.97915493,1,1,0,1,BOT
65,1,875.2406261,32,595904.3709,27.35126957,1,1,0,1,BOT
85,1,1991.397024,64,111131.6133,31.1155785,1,1,0,1,BOT
74,1,2474.476693,36,1406017.76,68.7354637,1,1,0,1,BOT
113,1,2114.38776,48,107170.5847,44.04974499,1,1,1,1,BOT
105,1,2432.387683,54,115904.3599,45.04421635,1,1,0,1,BOT
88,1,1936.527872,43,60219.05285,45.03553191,1,1,0,1,BOT
100,2,1145.837983,1878,1401.111146,0.6101373709,1,0,0,0,BOT
48,1,2317.480541,26,1627491.468,89.13386696,1,1,0,1,BOT
68,1,3282.767787,38,171447.5024,86.38862597,1,1,0,1,BOT
107,1,2802.565896,51,1332117.232,54.95227248,1,1,0,1,BOT
52,1,1519.48465,28,120644.8171,54.26730893,1,1,0,1,BOT
103,1,1714.455232,42,259630.3463,40.82036268,1,1,0,1,BOT
105,2,1677.55323,52,87769.30378,32.26063903,1,1,0,1,BOT
43,1,3233.63053,25,180534.0278,129.3452212,1,1,0,1,BOT
121,1,2288.508914,51,120274.7051,44.87272381,1,1,0,1,BOT
32,1,2127.765057,17,183106.3682,125.1626504,1,1,0,1,BOT
67,1,1725.626089,32,1049226.397,53.92581529,1,1,0,1,BOT
79,1,2142.200169,40,168856.3654,53.55500423,1,1,0,1,BOT
